id	acxiom_id	name	address1	address2	address3	city	county	state	country	zip	phone	fax	url	email	flags	latitude	longitude	accuracy	time_created	score	rating	review_count	photo_id	alias	geoquad	data_source_type
153523	153523	MySpace	121 2nd Street			San Francisco		CA	US	94105	+14012946014		NULL		6	37.78786087036133	-122.39938354492188	NULL	0	NULL	0	0	NULL		6411589	NULL
549614	549614	Dave's Sales Jewelers	3684 Nottingham Way			San Francisco		CA	US	94103	+16095871066		NULL		4096	37.777770430359	-122.410448	9.5	0	0	1	1	NULL	daves-sales-jewelers-san-francisco	6389743	NULL
669890	669890	No Title				San Francisco		CA	US		NULL		NULL		8	37.7749295	-122.4194155	4	0	NULL	0	0	NULL	no-title-no-title-278	6389743	NULL
2240654	2240654	Gabbie's Everyday	123 Main St	Ste 2000		San Francisco		CA	US	94103	+17742840202		http://www.123mainstreet.com		64	37.7914112	-122.3943827	8	0	NULL	0	0	NULL	gabbies-everyday-san-francisco	6411589	NULL
4783782	4783782	Driver's Edge				San Francisco		CA	US		+19722639913		NULL		8	37.7749295	-122.4194155	4	0	NULL	0	0	NULL	drivers-edge-san-francisco	6389743	NULL
5402983	5402983	N/A				San Francisco		CA	US		NULL		NULL		8	37.7749295	-122.4194155	4	0	NULL	0	0	NULL	n-a-no-title-2	6389743	NULL
5467640	5467640					San Francisco		CA	US		NULL		NULL		8	37.7749295	-122.4194155	4	0	NULL	0	0	NULL	no-title-no-title-280	6389743	NULL
5495768	5495768	The Nativity Stones Collection				San Francisco		CA	US		+13236544030		http://www.nativitystonescollection.com		88	37.7749295	-122.4194155	4	0	NULL	0	0	1815679	the-nativity-stones-collection-no-title	6389743	NULL
5506399	5506399	O Brien Tara J				San Francisco		CA	US		NULL		NULL		24	37.7749295	-122.4194155	4	0	NULL	0	0	NULL	o-brien-tara-j-no-title	6389743	NULL
5627432	5627432	Prodigy Moving & Storage	201 Van Ness Ave			San Francisco		CA	US	94102	+18669916683		http://www.prodigymoving.com		4160	37.7837401052272	-122.442626953125	9.5	0	4.16737448827049	4.62857142857143	105	41100838	prodigy-moving-and-storage-san-francisco-3	6389743	NULL
5822157	5822157	Matrix Capital Funding	101 California St			San Francisco	NULL	CA	US	94111	+14157543624		NULL		16	37.797476	-122.399089	5	0	NULL	0	0	8686483	matrix-capital-funding-san-francisco	6411589	NULL
5937944	5937944	Sit & Spin	4023 18th St			San Francisco		CA	US	94114	+14155220201		NULL		22	37.7609131	-122.43321	8	0	0	0	0	7920154	sit-and-spin-san-francisco-3	6389743	NULL
